h2,ch4,c2h6,c2h4,c2h2,act
170.0,320.0,3.0,520.0,53.0,2
3.7,118.2,66.9,157.4,0.2,5
36.0,21.0,65.0,2.0,0.001,4
12.0,270.0,0.0001,275.0,0.0001,2
122.0,161.0,271.0,35.0,0.001,4
30.4094,8.1412,0.7212,16.0032,44.725,1
9.0,38.0,93.0,8.0,0.001,4
3.4,109.2,45.9,136.5,0.0,5
10.0,52.0,40.0,280.0,2.2,2
21.0,14.0,191.0,90.0,0.001,4
0.001,0.001,9.0,57.0,0.001,2
43.0,36.0,41.0,47.0,13.0,1
60.68,49.79,9.1,1.79,0.0,6
4.9,114.6,56.0,137.5,0.0,5
0.0001,224.0,0.0001,45.0,0.0001,4
61.0,21.0,2.0,26.0,89.0,1
37.0,123.0,67.0,52.0,0.001,4
289.0,13.4,18.2,49.8,36.3,3
2.0,5.0,81.0,172.0,0.0001,5
57.0,24.0,2.0,27.0,30.0,3
41.0,16.0,19.0,58.0,106.0,1
29.9,34.6,5.6,70.0,1.2,4
33.0,79.0,5.0,215.0,30.0,2
31.25,291.11,87.26,364.74,2.52,2
37.0,6.8,5.7,0.6,0.3,3
37.0,47.0,10.0,5.5,0.0001,4
300.0,240.0,14.0,160.0,140.0,1
19.0,18.0,1.0,55.0,7.0,2
113.0,137.0,173.0,34.0,0.001,4
121.0,450.0,146.0,898.0,116.0,2
418.0,56.0,21.0,14.0,96.0,3
385.0,28.8,50.0,82.3,171.0,3
166.0,21.0,38.0,6.0,0.0001,6
24.0,109.0,69.0,0.0001,0.0001,4
112.0,68.0,136.0,9.0,0.001,4
126.0,5.0,1.0,6.0,24.0,1
44.482,50.357,4.616,0.0,0.5455,3
58.0,103.0,51.0,251.0,6.0,2
518.0,38.0,104.0,0.0,0.0,6
90.0,160.0,54.0,330.0,29.0,2
16.0,105.0,224.0,15.0,0.001,4
6.0,0.5,0.29,1.87,7.42,3
44.6,63.2,20.1,129.0,0.66,2
117.0,5.8,15.9,7.0,12.8,1
119.0,8.0,20.0,0.001,21.0,3
205.0,20.0,8.0,0.0001,6.0,3
335.0,67.0,18.0,143.0,170.0,1
56.0,100.0,51.0,153.0,2.3,2
113.0,137.0,173.0,34.0,0.0001,4
21.0,79.0,13.0,419.0,0.0,2
90.0,28.0,8.0,31.0,32.0,1
13.3,173.1,87.5,215.4,0.3,5
101.0,8.1,0.001,3.0,0.001,6
172.9,334.0,172.9,812.5,37.7,2
115.0,25.5,110.0,12.2,8.6,3
220.0,502.0,178.0,1017.0,7.8,2
137.0,279.0,66.0,505.0,0.0001,2
160.0,10.0,3.0,1.0,1.0,3
5.3,209.6,125.2,305.8,0.6,5
10.0,63.0,176.0,35.0,0.001,4
170.0,271.0,141.0,231.0,39.0,3
30.4,117.0,44.2,138.0,0.1,5
21.0,14.0,191.0,90.0,0.001,4
32.4,214.9,92.7,268.6,2.1,5
169.0,38.0,48.5,6.5,5.8,3
116.0,14.0,134.0,5.3,0.001,6
163.0,26.0,7.0,19.0,133.0,3
1076.0,95.0,71.0,231.0,4.0,6
15.0,97.0,3.0,23.0,6.0,2
63.6,44.3,10.2,30.3,10.7,3
4.2,127.7,68.7,161.0,0.0,5
63.0,22.0,15.0,11.0,76.0,1
